"Symbol","Description","Category2","Category3","GICSSector","MarketCap","DividendYield","Country","Action"
"VSCO","Victorias Secret & Co.","Common stocks","Mid cap","Consumer Discretionary","$2,778,158,650","0.00%","USA","Analyze"
"MRCY","Mercury Systems Inc","Common stocks","Mid cap","Industrials","$2,775,978,079","0.00%","USA","Analyze"
"JWN","Nordstrom Inc","Common stocks","Mid cap","Consumer Discretionary","$2,747,508,795","3.30%","USA","Analyze"
"MRVI","Maravai LifeSciences Holdings, Inc","Common stocks","Mid cap","Health Care","$2,745,232,329","0.00%","USA","Analyze"
"ENOV","Enovis Corporation","Common stocks","Mid cap","Health Care","$2,741,660,695","0.00%","USA","Analyze"
"OPEN","Opendoor Technologies Inc","Common stocks","Mid cap","Real Estate","$2,723,097,129","0.00%","USA","Analyze"
"LOPE","Grand Canyon Education Inc","Common stocks","Mid cap","Consumer Discretionary","$2,601,148,533","0.00%","USA","Analyze"
"LESL","Leslies, Inc.","Common stocks","Mid cap","Consumer Discretionary","$2,595,332,559","0.00%","USA","Analyze"
"NVAX","Novavax Inc","Common stocks","Mid cap","Health Care","$2,581,567,019","0.00%","USA","Analyze"
"SPB","Spectrum Brands Holdings Inc","Common stocks","Mid cap","Consumer Staples","$2,568,493,657","2.65%","USA","Analyze"
"JBGS","JBG Smith Properties","REITs","Mid cap","Real Estate","$2,513,167,875","4.04%","USA","Analyze"
"CERT","Certara, Inc.","Common stocks","Mid cap","Health Care","$2,505,358,587","0.00%","USA","Analyze"
"JBLU","Jetblue Airways Corp","Common stocks","Mid cap","Industrials","$2,498,946,528","0.00%","USA","Analyze"
"ESAB","ESAB Corporation","Common stocks","Mid cap","Industrials","$2,467,189,182","0.12%","USA","Analyze"
"FOUR","Shift4 Payments, Inc. Class A","Common stocks","Mid cap","Information Technology","$2,428,831,006","0.00%","USA","Analyze"
"VIRT","Virtu Financial Inc Class A","Common stocks","Mid cap","Financials","$2,365,841,060","4.14%","USA","Analyze"
"KD","Kyndryl Holdings, Inc.","Common stocks","Mid cap","Information Technology","$2,362,868,334","0.00%","USA","Analyze"
"HAYW","Hayward Holdings, Inc.","Common stocks","Mid cap","Industrials","$2,269,506,152","0.00%","USA","Analyze"
"CPA","Copa Holdings SA Class A","Common stocks","Mid cap","Industrials","$2,206,852,544","7.51%","USA","Analyze"
"SNDR","Schneider National Inc Class B","Common stocks","Mid cap","Industrials","$2,171,253,887","1.31%","USA","Analyze"
"UPST","Upstart Holdings, Inc.","Common stocks","Mid cap","Financials","$2,106,913,278","0.00%","USA","Analyze"
"FRPT","Freshpet Inc","Common stocks","Mid cap","Consumer Staples","$2,081,623,187","0.00%","USA","Analyze"
"DH","Definitive Healthcare Corp.","Common stocks","Mid cap","Health Care","$2,018,263,751","0.00%","USA","Analyze"
"HPP","Hudson Pacific Properties, Inc","REITs","Small cap","Real Estate","$1,871,303,884","7.43%","USA","Analyze"
"SIX","Six Flags Entertainment Corp","Common stocks","Small cap","Consumer Discretionary","$1,840,868,271","0.00%","USA","Analyze"
"RKT","Rocket Companies, Inc. Class A","Common stocks","Small cap","Consumer Staples","$1,093,360,000","0.00%","USA","Analyze"
"EHAB","Enhabit, Inc.","Common stocks","Small cap","Health Care","$823,665,473","0.00%","USA","Analyze"
"UWMC","UWM Holdings Corporation Class A","Common stocks","Small cap","Financials","$335,123,039","10.64%","USA","Analyze"
"PTON","Peloton Interactive, Inc. Class A","Common stocks","Small cap","Consumer Discretionary","$306,732,655","0.00%","USA","Analyze"
